frame,car,bike,auto,bus,truck,total,weighted
0,2,2,0,0,0,4,3.0
60,1,1,0,0,0,2,1.5
120,2,3,0,0,0,5,3.5
180,3,6,1,0,1,11,9.3
240,3,13,0,2,3,21,23.0
300,4,14,0,0,1,19,13.5
360,4,11,0,0,0,15,9.5
420,8,7,1,0,4,20,22.3
480,8,4,0,1,5,18,25.5
540,8,9,0,3,2,22,26.5
600,9,14,0,1,0,24,19.0
660,8,10,2,2,3,25,28.1
720,4,5,0,3,3,15,23.0
780,3,4,1,3,0,11,14.8
840,3,4,0,2,0,9,11.0
900,4,6,0,1,0,11,10.0
960,6,6,1,1,4,18,22.8
1020,7,6,1,0,4,18,20.8
1080,11,4,0,0,4,19,23.0
1140,8,5,0,0,2,15,15.5
1200,7,11,1,0,1,20,15.8
1260,6,6,0,1,1,14,14.5
1320,5,4,0,0,2,11,12.0
1380,7,4,0,0,3,14,16.5
1440,2,4,1,0,4,11,14.8
1500,5,5,1,1,2,14,16.3
1560,3,4,0,1,4,12,18.0
1620,4,5,0,0,1,10,9.0
1680,3,3,2,0,0,8,6.1
1740,3,3,0,1,1,8,10.0
1800,7,6,0,0,0,13,10.0
1860,5,10,0,0,0,15,10.0
1920,5,10,1,0,1,17,13.3
1980,5,9,0,0,3,17,17.0
2040,3,7,0,1,1,12,12.0
2100,4,4,1,1,0,10,9.8
2160,1,7,0,1,0,9,7.5
2220,4,11,0,0,0,15,9.5
2280,3,8,1,0,1,13,10.3
2340,2,5,0,0,2,9,9.5
2400,1,5,1,0,3,10,11.8
2460,1,6,1,0,3,11,12.3
2520,2,6,0,0,2,10,10.0
2580,3,6,0,0,2,11,11.0
2640,1,2,1,0,1,5,5.3
2700,3,1,0,0,1,5,6.0
2760,1,1,0,0,1,3,4.0
2820,2,1,0,0,0,3,2.5
2880,3,1,0,0,0,4,3.5
2940,4,1,0,0,0,5,4.5
3000,1,2,0,0,0,3,2.0
3060,3,5,0,0,0,8,5.5
3120,1,1,0,0,1,3,4.0
3180,2,0,0,0,0,2,2.0
3240,2,0,0,0,0,2,2.0
3300,2,3,0,0,0,5,3.5
3360,2,7,1,0,0,10,6.3
3420,3,6,2,0,1,12,10.1
3480,3,4,1,0,2,10,10.8
3540,1,1,1,0,0,3,2.3
3600,3,1,1,0,1,6,6.8
3660,1,1,0,0,1,3,4.0
3720,2,7,1,0,1,11,8.8
3780,4,5,0,0,0,9,6.5
3840,6,4,1,0,2,13,13.8
3900,5,2,0,0,1,8,8.5
3960,3,1,0,0,5,9,16.0
4020,3,1,0,0,2,6,8.5
4080,3,1,0,0,2,6,8.5
4140,3,2,0,0,2,7,9.0
4200,4,6,0,0,0,10,7.0
4260,3,5,0,0,1,9,8.0
4320,6,0,0,0,3,9,13.5
4380,4,0,0,0,0,4,4.0
4440,6,2,0,0,2,10,12.0
4500,5,1,0,0,3,9,13.0
4560,3,5,0,0,3,11,13.0
4620,4,2,0,0,1,7,7.5
4680,6,2,0,2,2,12,18.0
4740,5,2,0,0,2,9,11.0
4800,4,2,0,0,1,7,7.5
4860,3,1,0,0,0,4,3.5
4920,2,1,0,0,1,4,5.0
4980,1,0,0,0,0,1,1.0
5040,0,0,0,0,0,0,0.0
5100,1,0,0,0,0,1,1.0
5160,2,1,0,0,0,3,2.5
5220,3,1,2,0,0,6,5.1
5280,2,3,0,0,0,5,3.5
5340,3,0,1,0,0,4,3.8
5400,1,0,0,0,0,1,1.0
5460,2,0,0,0,0,2,2.0
5520,2,2,0,0,0,4,3.0
5580,1,0,0,0,0,1,1.0
5640,1,0,0,1,1,3,6.5
5700,1,1,0,0,1,3,4.0
5760,1,0,0,0,2,3,6.0
5820,2,1,0,0,1,4,5.0
5880,4,0,0,0,2,6,9.0
5940,2,1,0,0,0,3,2.5
6000,2,1,0,0,0,3,2.5
6060,0,3,0,0,0,3,1.5
6120,0,7,0,0,0,7,3.5
6180,1,3,0,0,0,4,2.5
6240,2,9,0,0,0,11,6.5
6300,4,14,0,0,0,18,11.0
6360,6,11,1,0,0,18,12.3
6420,7,9,0,1,0,17,14.5
6480,7,3,0,0,3,13,16.0
6540,8,3,1,0,2,14,15.3
6600,7,3,1,1,3,15,19.8
6660,10,6,2,0,2,20,19.6
6720,4,1,0,4,3,12,24.0
6780,5,4,0,4,0,13,19.0
6840,8,8,1,3,1,21,24.3
6900,8,4,1,1,3,17,21.3
6960,8,6,0,1,3,18,21.5
7020,5,3,0,2,1,11,15.0
7080,9,0,0,1,0,10,12.0
7140,7,3,0,0,2,12,13.5
7200,6,8,0,2,2,18,21.0
7260,6,9,0,1,2,18,18.5
7320,8,2,0,0,0,10,9.0
7380,11,2,0,1,1,15,17.5
7440,9,3,0,1,3,16,21.0
7500,3,4,0,0,1,8,7.5
7560,6,2,0,0,0,8,7.0
7620,2,3,0,0,0,5,3.5
7680,2,1,2,0,0,5,4.1
7740,2,3,1,0,0,6,4.3
7800,1,4,0,0,0,5,3.0
7860,3,3,0,0,0,6,4.5
7920,2,3,0,0,1,6,6.0
7980,3,2,0,1,0,6,7.0
8040,2,1,0,1,2,6,10.5
8100,2,2,0,1,0,5,6.0
8160,3,1,0,1,0,5,6.5
8220,3,2,0,0,0,5,4.0
